judgement_id,tribunal,chamber,chamber_group,hearing_datetime,decision_datetime,created_datetime,publication_datetime,last_updatedtime,file_number,file_no_1,file_no_2,file_no_3,reported_number,reported_no_1,reported_no_2,reported_no_3,neutral_citation_number,ncn_year,ncn_code1,ncn_citation,ncn_code2,claimant,respondent,notes,is_published,subcategory_id,sec_subcategory_id,keywords,decision_type
11,,,,,2/18/2002,3/25/2002,6/20/2002,6/20/2002,CJSA 2838 2001,CJSA,2838,2001,,,,,,,,,,,,Back to work bonus-conditions of entitlement.,1,216,,,
12,,,,,2/19/2002,3/25/2002,3/25/2002,6/14/2002,CJSA 2327 2001,CJSA,2327,2001,,,,,,,,,,,,"Guidance on how the Secretary of State should deal with claims and appeals which a claimant seeks to fill the gap between the closure of his claim ( for example, because of a failure to attend and interview) and the making of a new claim.",1,216,285,Jobseekers allowance: other; Tribunal procedure and practice: tribunal practice,
13,,,,,2/22/2002,3/25/2002,3/25/2002,6/14/2002,CI 1547 2001,CI,1547,2001,,,,,,,,,,,,Notification of supersession at the same rate.,1,256,,"Reviews, revisions and supersessions: supersession: general",
14,,,,,2/21/2002,3/25/2002,3/25/2002,6/14/2002,CF 3565 2001,CF,3565,2001,,,,,,,,,,,,Secretary of State misconstrued provision as to recognition of education for child benefit-whether provisions excluding this decision from appeal could be challenged-whether breach of Human Rights Act-nature of remedy available to the claiment.,1,1,138,"Benefits for children: child benefit

Human rights law: article 6 (fair hearing)

Tribunal procedure and practice: tribunal jurisdiction",
15,,,,,2/21/2002,3/25/2002,7/4/2002,7/4/2002,CF 3565 2001,CF,3565,2001,,,,,,,,,,,,Secretary of State misconstrued provision as to recognition of education for child benefit-whether provisions excluding this decision from appeal could be challenged-whether breach of Human Rights Act-nature of remedy available to the claiment.,1,1,138,,
16,,,,,3/4/2002,3/25/2002,3/25/2002,6/14/2002,CDLA 3908 2001,CDLA,3908,2001,,,,,,,,,,,,Whether an award of disability living allowance is possession for the purpose of Article 1 of Protocol 1-whether removal of entitlement to an existing award by supersession is a breach of the ECHR.,1,146,,Human rights: protocol 1 (protection of property),
17,,,,,3/7/2002,3/25/2002,3/25/2002,6/14/2002,CSJSA 1247 2001,CSJSA,1247,2001,,,,,,,,,,,,Whether an oil-rigger ceased to be engaged in remunerative work every time he came back on shore.,1,236,,Remunerative work: engaged in work,
18,,,,,3/7/2002,3/25/2002,3/28/2002,6/14/2002,CSJSA 1248 2001,CSJSA,1248,2001,,,,,,,,,,,,Whether an oil-rigger ceased to be engaged in remunerative work every time he came back on shore.,1,236,,Remunerative work: engaged in work,
19,,,,,1/23/2002,3/25/2002,3/25/2002,6/14/2002,CIS 2960 2001,CIS,2960,2001,,,,,,,,,,,,Whether computer link existed between child benefit section and income support office.,1,229,,Recovery of overpayments: failure to disclose,
20,,,,,2/22/2002,3/25/2002,3/25/2002,6/14/2002,CI 1052 2001,CI,1052,2001,,,,,,,,,,,,Whether two awards permissiable where in capacitiy for regular employment is due to both an accident and a disease.,1,205,,Industrial injuries benefits: reduced earnings allowance,
21,,,,,1/17/2002,3/25/2002,3/25/2002,6/14/2002,CIS 914 1997,CIS,914,1997,,,,,,,,,,,,Claim during school  holiday by casually - employed school auxiliary work.,1,236,,Remunerative work: engaged in work,
22,,,,,1/18/2002,3/25/2002,3/25/2002,6/14/2002,CJSA 2759 1998,CJSA,2759,1998,,,,,,,,,,,,Claim during school holiday by relief school cook.,1,236,,Remunerative work: engaged in work,
23,,,,,3/6/2002,3/25/2002,3/25/2002,6/14/2002,CJSA 1542 2000,CJSA,1542,2000,,,,,,,,,,,,"Whether redundancy payments are ""pension payments""",1,216,,Jobseekers allowance: other,
24,,,,,2/12/2002,3/25/2002,7/4/2002,7/4/2002,CCR 3558 2000,CCR,3558,2000,,,,,,,,,,,,Adopting reasoned medical evidence.,1,282,,,
25,,,,,2/28/2002,3/25/2002,3/25/2002,6/14/2002,CS 3294 2001,CS,3294,2001,,,,,,,,,,,,"Appeals on disablement and ""down to date of decison"" in transitional cases.",1,203,,Industrial injuries benefit: assessment of disablement,
26,,,,,2/27/2002,3/25/2002,3/25/2002,6/14/2002,CCS 2128 2001,CCS,2128,2001,,,,,,,,,,,,Treatment of rent from property as earnings from self-employment or other income.,1,32,,Child support: calculation of income,
27,,,,,2/25/2002,3/25/2002,3/25/2002,6/14/2002,CDLA 2127 2000,CDLA,2127,2000,,,,,,,,,,,,When accommodation is provided pursuant to part III of National Assistance Act 1948.,1,79,,"DLA, AA, MA: general: accommodation costs.",
28,,,,,2/21/2002,3/25/2002,3/25/2002,6/14/2002,CDLA 1378 2001,CDLA,1378,2001,,,,,,,,,,,,Effect of reviews after 65 on awards before 65.,1,80,,"DLA, AA, MA: general: age conditions",
29,,,,,2/1/2002,3/25/2002,3/25/2002,6/14/2002,CDLA 1850 2001,CDLA,1850,2001,,,,,,,,,,,,Evaluation of replies on enquiry forms where questions not in accord with legislation (i.e. walking and severe discomfort).,1,282,,Tribunal procedure and practice: statements of reasons.,
30,,,,,1/8/2002,3/25/2002,3/25/2002,6/14/2002,CDLA 3224 2001,CDLA,3224,2001,,,,,,,,,,,,Oral hearing by tribunal is required if secretary of state has requested one.,1,285,,Tribunal procedure and practice: tribunal practice.,
31,,,,,2/18/2000,3/26/2002,3/26/2002,6/14/2002,CCR 2127 1999,CCR,2127,1999,R(CR) 1 01,CR,1,01,,,,,,,,"Recovery from compensation payments - injury said to be due partly to a pre-existing cause - whether benefit paid ""in respect of"" the relevant accident throughout the relevant period

The claimant suffered an accident on 13 September 1991. In April 1996 his claim for compensation was settled at £50,000. In the meantime the Secretary of State had issued, under Part IV of the Social Security Administration Act 1992, a certificate of total benefit in the sum of £30,926.10, which was subsequently revised on review to the sum of £26,968.32 on the basis that benefit paid after 12 October 1995 was not attributable to the relevant accident. The claimant appealed to a social security appeal tribunal and, because the claimant blamed his disablement on pre-existing psoriatic spondylosis, the tribunal referred that question to a medical appeal tribunal. The medical appeal tribunal decided that the claimant had been suffering from an injury to his neck until ""13 weeks from 8 January 1996"" (a decision formulated on the basis of a Med 3 which advised the claimant not to work during that period due to ""neck injury"") but made no finding that the relevant injury was the cause of the neck injury throughout that period or at all. The reconvened social security appeal tribunal held on 7 December 1998 had before it a letter from the Benefits Agency dated 13 November 1998 informing the claimant that an adjudicating medical authority had decided that the relevant accident had caused a loss of faculty from 27 December 1991 to 26 December 1992 and there was evidence before the tribunal that the adjudicating medical authority had considered that symptoms after 26 December 1992 were due to pre-existing conditions. The social security appeal tribunal disallowed the claimant's appeal on the basis that the claimant was suffering from the effects of the injury until the date his claim was settled. The claimant appealed to the Commissioner.

Held, allowing the appeal, that:

1.	if benefit was to be recovered from a compensation payment made in respect of a relevant accident the relevant accident must have been an effective cause of the injury giving rise to the payment of benefit throughout the period in which recovery was sought, because otherwise it could not be said that the benefit was paid ""in respect of"" the accident throughout the period;
2.	whilst it was not in dispute that the relevant accident caused or contributed to a neck injury, there was a question whether it caused the neck injury that was still subsisting in early 1996 or whether it was still contributing to that injury;
3.	the tribunal had erred because that question had not been determined by either the medical appeal tribunal or the social security appeal tribunal or alternatively no reasons had been given for the determination.

The Commissioner referred the case for determination by a tribunal constituted under the Social Security Act 1998.",1,72,,compensation recovery: cause of payments of benefits,
32,,,,,12/4/2000,3/26/2002,3/26/2002,6/14/2002,CCS 3749 1997,CCS,3749,1997,R(CS) 1 01,CS,1,01,,,,,,Secretary of State for Social Security v. Foster and Anor.,,"Application for maintenance - court order requiring payment of school fees - whether a ""maintenance order""

The parent with care made an application for maintenance of two qualifying children. An initial assessment by the first child support officer was revoked on review by the second child support officer on the grounds that the parent with care was precluded from making an application because a court order, constituting a ""maintenance order"" within the meaning of paragraph 2 of the Child Support Act 1991 (Commencement No. 3 and Transitional Provisions) Order 1992, was in force. A tribunal allowed the parent with care's appeal on the basis that the court order dealt with school fees only and was therefore not a ""maintenance order"". The absent parent appealed to the Commissioner, who decided that the court order required the making of periodical payments to or for the benefit of the children, and the fact that the order referred only to school fees did not cause the order to fall outside the definition of ""maintenance order"" in section 8(11) of the Child Support Act 1991. The Secretary of State appealed to the Court of Appeal.

Held, dismissing the appeal, that:
1. under the transitional legislation no application for a maintenance assessment could be made under section 4 of the Act if a maintenance order was in force;
2. the definition of  ""maintenance order"" in section 8(11) of the Act applied to section 4;
3. the duty to maintain a child included a duty to cause that child to be educated so that an order for payment of school fees was an order made under Part II of the Matrimonial Causes Act 1973;
4. the Commissioner correctly concluded that the order was a 'maintenance order' within the meaning of the Act.",1,31,,Child support: applications,
33,,,,,6/27/2000,3/26/2002,7/4/2002,12/5/2002,CCS 3640 1999,CCS,3640,1999,R(CS) 2 01,CS,2,01,,,,,,Denson v. Stevenson and Anor,,"Tribunal practice - request for adjournment by absent parent allegedly unable to attend on account of migraine in default of direction by earlier tribunal to attend and to produce documentary evidence - whether refusal to adjourn unlawful

Tribunal practice - Company Secretary failing to attend tribunal to give evidence relating to company's financial affairs and to produce relevant documentary evidence in default of witness summons - whether tribunal able to make findings of fact on such issues

Departure direction - earlier county court order on financial provision ancillary to divorce proceedings - whether doctrine of estoppel applies

On 15 January 1997 the person with care of two qualifying children applied for a departure direction in respect of a maintenance assessment relying on regulations 24 (diversion of income) and 25 (inconsistent life-style) of the Child Support Departure Direction and Consequential Amendment Regulations 1996. She alleged that the absent parent had been a partner in and then sole proprietor of a firm DG, which had been acquired by a different firm DG Limited, in which the absent parent was an employee, for less than its value. She further alleged the absent parent was living with a woman who was the company secretary of DG Limited, and his father was a director, and substantial assets were under the control of or available to the absent parent, although through a variety of methods he had disguised this. The Secretary of State referred the application to a child support appeal tribunal for determination. Meanwhile, on 22 July 1997 a consent order was made by a District Judge in the county court in relation to financial matters ancillary to the divorce between the parties. On 25 November 1997 the chairman of the tribunal issued directions requiring documentary and other evidence in relation to DG and directing both parties to attend the tribunal hearing, warning that if the directions were not followed the tribunal may draw adverse inferences. On 25 March 1998 all parties attended a tribunal but certain papers were submitted at the hearing and the tribunal decided to adjourn so that it and the parties could consider them and to arrange for a witness summons to be served on the Company Secretary requiring her to attend and produce the company accounts and documentary evidence of her own income. She applied for the witness summons to be set aside on the grounds that if both she and the absent parent were away from DG Limited on the same day the firm would have to be shut for that day which was ""unacceptable"".  On 13 May 1998 the chairman refused to set it aside and on 26 May 1998 she sought leave to appeal to the Commissioner against that decision, which was refused by the chairman on 11 June 1998 on the ground that the Commissioner had no jurisdiction to entertain it. 
The adjourned hearing by the tribunal was set for 12 June 1998 and at 9.30am on that date the absent parent's neighbour telephoned the tribunal and spoke to a clerk saying the absent parent had a migraine and his doctor has been called but that he wanted to attend the hearing, and requested a postponement. The clerk made a note of the call and referred it to the chairman who refused to postpone the hearing. The parent with care attended but the absent parent and the Company Secretary did not. The parent with care stated that she had seen the absent parent the previous day, he had seemed well, he had no history of migraine attacks, she regarded his absence as intentional and a friend of his had done a similar thing in the context of a court appearance. She pointed out that he had failed to comply with the chairman's directions and that the Company Secretary had ignored the witness summons.  The Secretary of State's representative was content to proceed and the tribunal decided to proceed, noting the history of delay and evasion and the failure of the Company Secretary to attend or to send in the papers she was required to produced.  It concluded that the alleged migraine attack was the sort of illness that could be relied on to persuade a doctor to issue a certificate and that the whole scenario was unconvincing.  It also concluded that there was probably sufficient information available for a proper decision to be reached but if necessary the question of adjournment could be reconsidered in the course of the hearing.  In the event no adjournment was found necessary. The tribunal allowed the Departure application. The absent parent appealed to the Commissioner.

Held, dismissing the appeal, that: 
(1)	regulation 11(6) of the Child Support Appeals Tribunal (Procedure) Regulation 1992 provided that if a party to the proceedings to whom notice had been given failed to appear at the hearing the tribunal may ""having regard to all the circumstances including any explanation offered for the absence"" proceed with the appeal notwithstanding the absence, that the tribunal did consider all relevant circumstances, including the directions given by the chairman of the tribunal on 25 October 1997 which had warned of the possible consequences of non attendance and the fact that hearing had already been adjourned once, and the tribunal had acted lawfully and reasonably and there was no breach of the rules of natural justice or of the requirements of fair procedure (Rose v. Humbles [1972] 1 All ER 314 distinguished) (para.15);
(2)	the tribunal was not estopped from reaching their decision by virtue of the county court order because the court did not make any findings of fact, the proceedings before the child support appeal tribunal did not involve the same cause of action as the proceedings before the county court and whether relevant facts had been established for the purposes of regulations 24 and 25 were different issues from those litigated in the county court (para.16);
(3)	the tribunal was entitled to proceed without the oral testimony of the Company Secretary even though a witness summons had been issued in relation to that witness (para.17).
The absent parent applied for permission to appeal to the Court of Appeal.
Held, dismissing the application for permission to appeal, that:
1.	it was not even arguable that the Commissioner had erred in law in holding that the tribunal were not in error of law by refusing to adjourn (para. 19);
2.	the county court order did not operate as an estoppel by convention to preclude a departure direction because the tribunal's jurisdiction was entirely separate from that of the county court and they were considering a separate issue, the county court had made no findings of fact, and there was neither inconsistency between its order and that of the tribunal nor was there any inhibition upon the tribunal reaching their own conclusion on the question of child support liability (para.20);
3.	the tribunal were entitled to have regard to the true situation underlying the corporate façade and were not limited to establishing the facts from an officer of the company or by way of witness summons (para. 21).",0,285,38,,
